"id","iso_639_2_code_b","iso_639_2_code_t","iso_639_1_code","english_name","french_name","created_at","updated_at","updated_by"
365,sag,   ,sg,Sango,sango,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
366,sah,   ,  ,Yakut,iakoute,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
367,sai,   ,  ,South American Indian languages,"sud-amérindiennes, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
368,sal,   ,  ,Salishan languages,"salishennes, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
369,sam,   ,  ,Samaritan Aramaic,samaritain,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
370,san,   ,sa,Sanskrit,sanskrit,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
371,sas,   ,  ,Sasak,sasak,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
372,sat,   ,  ,Santali,santal,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
373,scn,   ,  ,Sicilian,sicilien,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
374,sco,   ,  ,Scots,écossais,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
375,sel,   ,  ,Selkup,selkoupe,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
376,sem,   ,  ,Semitic languages,"sémitiques, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
377,sga,   ,  ,"Irish, Old (to 900)",irlandais ancien (jusqu'à 900),2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
378,sgn,   ,  ,Sign Languages,langues des signes,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
379,shn,   ,  ,Shan,chan,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
380,sid,   ,  ,Sidamo,sidamo,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
381,sin,   ,si,Sinhala; Sinhalese,singhalais,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
382,sio,   ,  ,Siouan languages,"sioux, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
383,sit,   ,  ,Sino-Tibetan languages,"sino-tibétaines, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
